#Jul05
160431-163869   -1      1300076913-1304424214
165098-166033   -1      1305455720-1306687461
166034-166563   -1      1306688108-1307402885
166565-166923   -1      1307403658-1307994683
166946-167746   -1      1308029560-1309062764
167754-167913   -1      1309074055-1309269809
#Aug05
170826-172014   -1      1311194034-1311900753
172024-172619   -1      1311901318-1312419231
#Oct03
172620-172822   -1      1312419732-1312693697
172824-173198   -1      1312694562-1313138404
173236-173692   -1      1313170664-1314028847
#PromptV1
175860-176207   -1      1315435977-1315897661
176286-176548   -1      1315928785-1316222875
176697-176885   -1      1316389660-1316662680
176886-177139   -1      1316662896-1316986722
177140-177718   -1      1316987024-1317536309
177719-177791   -1      1317536760-1317722688
177875-178110   -1      1317753512-1318161286
178116-178421   -1      1318161784-1318496099
178424-178803   -1      1318496435-1318745335
178840-179434   -1      1318770961-1319292527
179452-179889   -1      1319293259-1319614233
179959-180252   -1      1319662646-1319990874
