#Jul05
160431-163869   -1      1300076913-1304424214
165098-166563   -1      1306688108-1307402885
166565-167746   -1      1308029560-1309062764
167754-167913   -1      1309074055-1309269809
#Aug05
170826-172619   -1      1311901318-1312419231
#Oct03
172620-173692   -1      1313170664-1314028847
#PromptV1
175860-176548   -1      1315928785-1316222875
176697-177139   -1      1316662896-1316986722
177140-177791   -1      1317536760-1317722688
177875-178421   -1      1318161784-1318496099
178424-179434   -1      1318770961-1319292527
179452-180252   -1      1319662646-1319990874
